folder_name,N_atoms
42,40
43,48
44,64
45,72
47,48
48,48
49,72
50,72
53,48
85,48
86,48
115,32
116,64
145,48
156,56
158,34
159,46
161,56
167,56
168,80
169,80
170,64
171,32
173,96
176,96
180,60
185,60
187,120
193,96
195,48
196,56
197,56
198,36
199,36
202,36
211,41
216,192
217,78
220,34
227,168
229,32
232,32
235,128
239,152
241,152
242,40
250,36
254,176
255,100
258,200
263,216
267,178
270,48
271,36
276,168
277,68
286,52
289,112
290,128
297,58
298,32
300,170
301,230
303,160
305,46
307,60
308,60
311,384
315,60
316,106
322,232
330,36
331,36
332,136
333,74
335,170
338,32
339,44
340,372
341,200
342,172
344,476
345,204
348,40
349,644
352,272
353,460
354,920
355,340
356,560
533,32
535,32
536,32
537,32
538,32
542,32
549,36
569,36
590,32
591,32
593,48
594,48
595,48
596,48
597,48
598,48
599,48
646,32
652,32
653,32
655,32
656,32
657,32
658,32
659,32
660,32
661,32
679,32
680,32
681,32
698,32
754,144
765,80
785,100
786,63
821,32
822,40
857,32
873,48
876,72
877,48
889,32
892,36
893,96
908,32
910,32
911,32
917,48
923,40
928,72
929,72
930,68
931,108
932,120
934,32
949,40
950,40
951,40
955,32
957,40
958,32
961,40
966,48
967,32
968,40
969,40
970,48
971,48
972,48
981,72
982,36
983,40
985,32
987,54
989,36
993,32
994,32
995,40
997,64
999,48
1000,48
1001,48
1002,64
1003,82
1022,32
1024,32
1025,36
1026,32
1029,64
1030,64
1031,48
1036,42
1037,36
1038,48
1039,48
1040,48
1041,96
1042,52
1043,124
1044,156
1045,52
1046,52
1047,120
1048,88
1049,76
1050,128
1051,40
1052,98
1053,40
1054,40
1055,52
1056,226
1057,220
1060,72
1061,32
1066,54
1081,36
1130,36
1131,36
1134,48
1143,36
1169,36
1177,36
1178,36
